time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
  86, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            165
  87, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            172
  88, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            170
  89, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            176
  90, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            205
  91, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            198
  92, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            194
  93, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            198
  94, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            196
  95, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            200
  96, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            193
  97, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            188
  98, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            191
  99, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            187
 100, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            175
 101, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            179
 102, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            183
 103, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            188
 104, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            181
 105, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            177
 106, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            174
 107, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            170
 108, 6.568e-05  ,      2,  0.01143 , 1.012e-08  ,        4,        0,                    1,                       1,                         0.5682,  0.3896,            176
 109, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            168
 110, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            160
 111, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            155
 112, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            161
 113, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            158
 114, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            160
 115, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            150
 116, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            147
 117, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            159
 118, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            156
 119, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            155
 120, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            172
 121, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            182
 122, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            207
 123, 4.601e-05  ,      2,  0.009569, 1.11e-26   ,        2,        0,                    1,                       1,                         0.4762,  0.4147,            210
 124, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            211
 125, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            217
 126, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            222
 127, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            232
 128, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            225
 129, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            222
 130, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            222
 131, 4.601e-05  ,      2,  0.009569, 5.865e-14  ,        2,        0,                    1,                       1,                         0.4762,  0.4557,            210
 132, 4.557e-05  ,      2,  0.009524, 9.115e-22  ,        4,        0,                    1,                       1,                         0.4739,  0.5552,            211
 133, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            219
 134, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            216
 135, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            225
 136, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            224
 137, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            238
 138, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            234
 139, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            240
 140, 3.546e-05  ,      2,  0.008403, 5.876e-36  ,        2,        0,                    1,                       1,                         0.4184,  0.6012,            239
 141, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            251
 142, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            254
 143, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            240
 144, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            235
 145, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            232
 146, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            228
 147, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            232
 148, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            235
 149, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            243
 150, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            261
 151, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            272
 152, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            256
 153, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            240
 154, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            250
 155, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            212
 156, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            210
 157, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            209
 158, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            198
 159, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            209
 160, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            209
 161, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            208
 162, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            203
 163, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            210
 164, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            221
 165, 0          ,      0,  0       , 0          ,        0,        0,                    0,                       0,                         0     ,  0     ,            225
