time, betweenness, degree, closeness, eigenvector, lifespan, mobility, fragmentation_impact, len_articulation_points, articulation_points_percentage, density, number_of_cars
  33, 0.000271   ,  3    ,   0.02459, 0.6116     ,    4    ,        0,                1    ,                       1,                         0.813 ,  0.2132,            123
  34, 0.0001211  ,  2    ,   0.0155 , 0.0002007  ,    2    ,        0,                1    ,                       1,                         0.7692,  0.2624,            130
  35, 0.0001474  ,  2    ,   0.01709, 0.7071     ,    2    ,        0,                1    ,                       1,                         0.8475,  0.1304,            118
  36, 0.000158   ,  2    ,   0.0177 , 5.372e-05  ,    2    ,        0,                1    ,                       3,                         2.632 ,  0.3105,            114
  37, 0.0001731  ,  2    ,   0.01852, 0.0001615  ,    2    ,        0,                1    ,                       1,                         0.9174,  0.3398,            109
  38, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            122
  39, 0.000125   ,  2    ,   0.01575, 9.441e-05  ,    2    ,        0,                1    ,                       2,                         1.562 ,  0.2092,            128
  40, 0.0001211  ,  2    ,   0.0155 , 0.0001031  ,    2    ,        0,                1    ,                       2,                         1.538 ,  0.2982,            130
  41, 0.0002051  ,  2.4  ,   0.01865, 6.325e-05  ,    2    ,        0,                1    ,                       5,                         3.731 ,  0.3703,            134
  42, 0.0002848  ,  3    ,   0.02318, 0.231      ,    3    ,        0,                1    ,                       2,                         1.493 ,  0.4938,            134
  43, 0.0001211  ,  2    ,   0.0155 , 5.803e-08  ,    2    ,        0,                1    ,                       1,                         0.7692,  0.3459,            130
  44, 0.0001211  ,  2    ,   0.0155 , 0.0001031  ,    2    ,        0,                1    ,                       2,                         1.538 ,  0.2743,            130
  45, 0.0002151  ,  2.667,   0.02133, 0.2883     ,    2.667,        0,                1    ,                       3,                         2.381 ,  0.381 ,            126
  46, 0.0002278  ,  3    ,   0.02256, 0.6116     ,    2    ,        0,                1    ,                       1,                         0.7463,  0.2806,            134
  47, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            122
  48, 0.0002173  ,  2.5  ,   0.02119, 5.857e-05  ,    2    ,        0,                1    ,                       2,                         1.681 ,  0.3276,            119
  49, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            116
  50, 0.0001609  ,  2    ,   0.01786, 0.0001592  ,    2    ,        0,                1    ,                       1,                         0.885 ,  0.3003,            113
  51, 0.0001499  ,  2    ,   0.01724, 1.038e-08  ,    2    ,        0,                1    ,                       1,                         0.8547,  0.3242,            117
  52, 0.0001553  ,  2    ,   0.01754, 0.0001592  ,    2    ,        0,                1    ,                       1,                         0.8696,  0.2899,            115
  53, 0.0001731  ,  2    ,   0.01852, 0.4082     ,    2    ,        0,                1    ,                       3,                         2.752 ,  0.2888,            109
  54, 0.0001668  ,  2    ,   0.01818, 0.7071     ,    2    ,        0,                1    ,                       1,                         0.9009,  0.2293,            111
  55, 0.0003161  ,  2    ,   0.01991, 0.0002329  ,    2    ,        0,                1    ,                       2,                         1.754 ,  0.2639,            114
  56, 0.0001609  ,  2    ,   0.01786, 0.0001812  ,    2    ,        0,                1    ,                       1,                         0.885 ,  0.2845,            113
  57, 0.000172   ,  2.333,   0.01867, 0.2039     ,    2    ,        0,                1    ,                       3,                         2.381 ,  0.3683,            126
  58, 0.0003147  ,  2    ,   0.01813, 0.3155     ,    2    ,        0,                1    ,                       5,                         4     ,  0.3097,            125
  59, 0.0003051  ,  3    ,   0.02609, 0.6116     ,    2    ,        0,                1    ,                       1,                         0.8621,  0.2849,            116
  60, 0          ,  0    ,   0      , 0          ,    0    ,        0,                0    ,                       0,                         0     ,  0     ,            138
  61, 9.989e-05  ,  2    ,   0.01408, 4.976e-09  ,    2    ,        0,                1    ,                       2,                         1.399 ,  0.3546,            143
  62, 0.0001839  ,  2.25 ,   0.01639, 0.1187     ,    2    ,        0,                1    ,                       4,                         2.685 ,  0.3446,            149
  63, 8.271e-05  ,  2    ,   0.01282, 2.951e-23  ,    2    ,        0,                1    ,                       2,                         1.274 ,  0.343 ,            157
  64, 0.0001878  ,  2.333,   0.01552, 0.00022    ,    2    ,        0,                1    ,                       3,                         1.765 ,  0.3272,            170
  65, 0.0002474  ,  2.429,   0.01638, 0.162      ,    2.571,        0,                1    ,                       7,                         4.167 ,  0.3279,            168
  66, 0.000187   ,  2.75 ,   0.01635, 0.0002013  ,    2.5  ,        0,                1    ,                       4,                         2.312 ,  0.3898,            173
  67, 0.0001614  ,  3.429,   0.0197 , 0.06606    ,    2.286,        0,                1    ,                       7,                         4     ,  0.4532,            175
  68, 0.0004115  ,  2    ,   0.01375, 5.57e-06   ,    2.222,        0,                1    ,                       9,                         4.918 ,  0.2882,            183
  69, 0.0001958  ,  2.5  ,   0.0155 , 0.08885    ,    2.667,        0,                1    ,                       6,                         3.226 ,  0.3313,            186
  70, 0.0002287  ,  2.625,   0.01638, 2.965e-05  ,    2.5  ,        0,                1    ,                       8,                         4.494 ,  0.4444,            178
  71, 0.0001761  ,  2.3  ,   0.01408, 7.877e-05  ,    2.2  ,        0,                1    ,                      10,                         5.464 ,  0.3903,            183
  72, 8.56e-05   ,  2.333,   0.01318, 4.334e-33  ,    2    ,        0,                1    ,                       3,                         1.685 ,  0.3936,            178
  73, 9.107e-05  ,  2    ,   0.01168, 1.126e-09  ,    2.5  ,        0,                1    ,                       4,                         2.186 ,  0.2882,            183
  74, 0.0001255  ,  2.6  ,   0.01516, 0.0662     ,    2    ,        0,                1    ,                       5,                         2.778 ,  0.4283,            180
  75, 6.277e-05  ,  2    ,   0.01117, 4.133e-11  ,    2.4  ,        0,                1    ,                       5,                         2.778 ,  0.36  ,            180
  76, 0.0001579  ,  2.286,   0.01394, 0.07621    ,    2.286,        0,                1    ,                       7,                         3.846 ,  0.3825,            182
  77, 0.0001375  ,  2.667,   0.01558, 0.0675     ,    2.667,        0,                1    ,                       6,                         3.352 ,  0.4331,            179
  78, 0.0001163  ,  2.25 ,   0.01375, 0          ,    3    ,        0,                1    ,                       4,                         2.286 ,  0.4335,            175
  79, 0.0001426  ,  2.8  ,   0.01687, 0.08285    ,    2    ,        0,                1    ,                       5,                         2.959 ,  0.4367,            169
  80, 0.0001496  ,  2.333,   0.01448, 0.00017    ,    2.667,        0,                1    ,                       6,                         3.636 ,  0.473 ,            165
  81, 0.000344   ,  2.4  ,   0.01618, 0.0907     ,    2.6  ,        0,                1    ,                      10,                         5.814 ,  0.476 ,            172
  82, 0.0001806  ,  2.25 ,   0.01481, 0          ,    3.5  ,        0,                1    ,                       4,                         2.273 ,  0.526 ,            176
  83, 0.0002614  ,  3.2  ,   0.02005, 0.0001267  ,    2    ,        0,                1    ,                       5,                         2.907 ,  0.5304,            172
  84, 0.0001443  ,  3    ,   0.01796, 7.864e-09  ,    2    ,        0,                1    ,                       1,                         0.5952,  0.6059,            168
  85, 0.0002436  ,  2.417,   0.01639, 4.476e-12  ,    2.667,        0,                1.083,                      12,                         7.101 ,  0.4931,            169
  86, 0.0003741  ,  3    ,   0.02055, 0.07708    ,    2.333,        0,                1    ,                       6,                         3.636 ,  0.4361,            165
  87, 0.0001204  ,  2.25 ,   0.01389, 3.299e-15  ,    2.5  ,        0,                1    ,                       4,                         2.326 ,  0.476 ,            172
  88, 0.0001811  ,  2.357,   0.01536, 8.966e-06  ,    2.429,        0,                1    ,                      14,                         8.235 ,  0.4664,            170
  89, 0.0006926  ,  2.545,   0.01806, 0.0746     ,    2    ,        0,                1    ,                      11,                         6.25  ,  0.4286,            176
  90, 0.000169   ,  2.438,   0.01351, 8.248e-27  ,    2.125,        0,                1    ,                      16,                         7.805 ,  0.5213,            205
  91, 0.0001191  ,  2.4  ,   0.01327, 3.108e-11  ,    2.4  ,        0,                1    ,                      10,                         5.051 ,  0.3999,            198
  92, 0.0002968  ,  2.615,   0.01632, 0.03929    ,    2.462,        0,                1    ,                      13,                         6.701 ,  0.4701,            194
  93, 0.0001079  ,  2.5  ,   0.01343, 0.02158    ,    2.333,        0,                1    ,                      12,                         6.061 ,  0.5025,            198
  94, 0.0002003  ,  2.368,   0.01415, 5.657e-06  ,    2.737,        0,                1    ,                      19,                         9.694 ,  0.4919,            196
  95, 0.0001523  ,  2.333,   0.01277, 7.552e-07  ,    2.444,        0,                1    ,                       9,                         4.5   ,  0.5327,            200
  96, 0.0001286  ,  2.5  ,   0.01394, 7.373e-20  ,    2.857,        0,                1.071,                      14,                         7.254 ,  0.6207,            193
  97, 0.0002372  ,  2.5  ,   0.01494, 5.195e-07  ,    2.25 ,        0,                1    ,                       8,                         4.255 ,  0.5063,            188
  98, 7.426e-05  ,  2.167,   0.01158, 1.895e-16  ,    3.667,        0,                1    ,                       6,                         3.141 ,  0.5787,            191
  99, 0.0002748  ,  2.909,   0.01767, 3.403e-05  ,    2.364,        0,                1    ,                      11,                         5.882 ,  0.529 ,            187
 100, 8.305e-05  ,  2.25 ,   0.01293, 2.5e-05    ,    2    ,        0,                1    ,                       4,                         2.286 ,  0.4269,            175
 101, 0.0002777  ,  3.125,   0.01922, 3.56e-05   ,    2.25 ,        0,                1    ,                       8,                         4.469 ,  0.6026,            179
 102, 0.0001214  ,  2.571,   0.01473, 0          ,    2.286,        0,                1    ,                       7,                         3.825 ,  0.4324,            183
 103, 0.0001509  ,  2.375,   0.01382, 1.093e-14  ,    2.25 ,        0,                1    ,                       8,                         4.255 ,  0.4892,            188
 104, 0.0002483  ,  2.4  ,   0.01522, 0.02073    ,    2.6  ,        0,                1    ,                      10,                         5.525 ,  0.6753,            181
 105, 0.0002273  ,  3    ,   0.01874, 2.157e-05  ,    2.4  ,        0,                1    ,                       5,                         2.825 ,  0.4879,            177
 106, 0.0001344  ,  2.333,   0.01439, 4.815e-21  ,    2.667,        0,                1    ,                      12,                         6.897 ,  0.5647,            174
 107, 0.0001878  ,  2.333,   0.01552, 1.828e-08  ,    3.333,        0,                1    ,                       3,                         1.765 ,  0.4316,            170
 108, 0.0002299  ,  2.3  ,   0.01424, 0.1028     ,    2.4  ,        0,                1    ,                      10,                         5.682 ,  0.3896,            176
 109, 9.619e-05  ,  2.333,   0.01397, 1.192e-05  ,    2.889,        0,                1    ,                       9,                         5.357 ,  0.4277,            168
 110, 0.0002687  ,  2.125,   0.01529, 0.09848    ,    2.75 ,        0,                1    ,                       8,                         5     ,  0.456 ,            160
 111, 0.0001061  ,  2.25 ,   0.01461, 0.1529     ,    3.5  ,        0,                1    ,                       4,                         2.581 ,  0.3351,            155
 112, 0.0001415  ,  2.2  ,   0.0146 , 2.117e-05  ,    2.4  ,        0,                1    ,                      10,                         6.211 ,  0.4348,            161
 113, 0.0001225  ,  2.5  ,   0.01592, 0.2162     ,    3    ,        0,                1    ,                       4,                         2.532 ,  0.3548,            158
 114, 0.0002123  ,  2.667,   0.01712, 8.959e-05  ,    2.667,        0,                1    ,                       3,                         1.875 ,  0.4324,            160
 115, 0.0006575  ,  2.625,   0.01976, 0.1194     ,    2    ,        0,                1    ,                       8,                         5.333 ,  0.4385,            150
 116, 0.0003779  ,  3    ,   0.02112, 5.238e-06  ,    2    ,        0,                1.5  ,                       2,                         1.361 ,  0.4193,            147
 117, 0.0001497  ,  2.286,   0.01537, 4.939e-05  ,    2.857,        0,                1    ,                       7,                         4.403 ,  0.3821,            159
 118, 0.0001955  ,  2.333,   0.0163 , 0.05817    ,    2    ,        0,                1    ,                       9,                         5.769 ,  0.4053,            156
 119, 0.0002304  ,  2.143,   0.01587, 1.254e-05  ,    3.143,        0,                1    ,                       7,                         4.516 ,  0.377 ,            155
 120, 0.0001626  ,  2.545,   0.01572, 3.287e-05  ,    2.182,        0,                1    ,                      11,                         6.395 ,  0.4488,            172
 121, 0.0001023  ,  2.667,   0.01473, 0.1745     ,    2.667,        0,                1    ,                       3,                         1.648 ,  0.4675,            182
 122, 0.000221   ,  2.75 ,   0.01463, 0.07838    ,    2.667,        0,                1    ,                      12,                         5.797 ,  0.4315,            207
 123, 0.0002509  ,  2.636,   0.01455, 0.03774    ,    2.182,        0,                1    ,                      11,                         5.238 ,  0.4147,            210
 124, 8.062e-05  ,  2    ,   0.01044, 7.481e-09  ,    2.308,        0,                1    ,                      13,                         6.161 ,  0.4604,            211
 125, 0.0004558  ,  2.417,   0.0142 , 0.01159    ,    2.167,        0,                1    ,                      12,                         5.53  ,  0.5206,            217
 126, 0.0001047  ,  2.545,   0.01252, 0          ,    2    ,        0,                1    ,                      11,                         4.955 ,  0.4566,            222
 127, 0.000138   ,  2.444,   0.01206, 2.014e-06  ,    2.333,        0,                1    ,                      18,                         7.759 ,  0.4478,            232
 128, 0.0001441  ,  2.333,   0.0121 , 0.0001215  ,    2.4  ,        0,                1    ,                      15,                         6.667 ,  0.4484,            225
 129, 0.000107   ,  2.7  ,   0.01306, 7.044e-07  ,    2.6  ,        0,                1    ,                      10,                         4.505 ,  0.4321,            222
 130, 0.0001755  ,  2.4  ,   0.0124 , 6.277e-06  ,    2.8  ,        0,                1    ,                      15,                         6.757 ,  0.4729,            222
 131, 0.0001534  ,  2.667,   0.01413, 5.816e-06  ,    2    ,        0,                1    ,                       6,                         2.857 ,  0.4557,            210
 132, 0.0001985  ,  2.5  ,   0.01365, 1.493e-06  ,    2.571,        0,                1    ,                      14,                         6.635 ,  0.5552,            211
 133, 0.0001716  ,  2.706,   0.01409, 0.02279    ,    2.706,        0,                1    ,                      17,                         7.763 ,  0.5865,            219
 134, 0.000149   ,  2.714,   0.01406, 4.944e-10  ,    2    ,        0,                1    ,                       7,                         3.241 ,  0.5211,            216
 135, 0.0002479  ,  2.619,   0.01321, 0.01814    ,    2.476,        0,                1    ,                      21,                         9.333 ,  0.5   ,            225
 136, 0.0002121  ,  2.714,   0.0141 , 0.03404    ,    2.714,        0,                1.071,                      14,                         6.25  ,  0.4244,            224
 137, 9.059e-05  ,  2.667,   0.01227, 0.006913   ,    2.4  ,        0,                1    ,                      15,                         6.303 ,  0.624 ,            238
 138, 0.0001209  ,  2.467,   0.01223, 0.0236     ,    2.667,        0,                1    ,                      15,                         6.41  ,  0.4512,            234
 139, 0.0002498  ,  2.684,   0.01363, 8.265e-07  ,    2.632,        0,                1.053,                      19,                         7.917 ,  0.53  ,            240
 140, 0.0003359  ,  2.947,   0.01482, 4.491e-06  ,    2.632,        0,                1    ,                      19,                         7.95  ,  0.6012,            239
 141, 0.0002209  ,  2.938,   0.01403, 0.023      ,    2.625,        0,                1    ,                      16,                         6.375 ,  0.5036,            251
 142, 0.0001137  ,  2.75 ,   0.01161, 0.04614    ,    2.5  ,        0,                1    ,                       8,                         3.15  ,  0.6287,            254
 143, 0.000116   ,  2.4  ,   0.01152, 1.471e-09  ,    2    ,        0,                1    ,                      10,                         4.167 ,  0.5579,            240
 144, 0.000106   ,  2.556,   0.01195, 4.353e-12  ,    3.556,        0,                1    ,                       9,                         3.83  ,  0.5746,            235
 145, 0.0001262  ,  2.412,   0.01167, 1.825e-05  ,    2.471,        0,                1    ,                      17,                         7.328 ,  0.4889,            232
 146, 0.0003394  ,  2.529,   0.01401, 0.03372    ,    2.588,        0,                1    ,                      17,                         7.456 ,  0.4985,            228
 147, 0.0001851  ,  2.333,   0.01202, 1.731e-05  ,    2.583,        0,                1    ,                      24,                        10.34  ,  0.459 ,            232
 148, 0.0001749  ,  2.692,   0.01331, 0.02654    ,    2.308,        0,                1    ,                      13,                         5.532 ,  0.5055,            235
 149, 0.00012    ,  2.556,   0.01206, 0.02178    ,    2.778,        0,                1    ,                      18,                         7.407 ,  0.3877,            243
 150, 0.0001089  ,  2.6  ,   0.01135, 0.02108    ,    2.133,        0,                1    ,                      15,                         5.747 ,  0.4833,            261
 151, 0.0001335  ,  3    ,   0.01219, 5.662e-08  ,    2.235,        0,                1.059,                      17,                         6.25  ,  0.5427,            272
 152, 7.891e-05  ,  2.333,   0.00977, 8.118e-05  ,    2.444,        0,                1    ,                       9,                         3.516 ,  0.5239,            256
 153, 0.0001336  ,  2.75 ,   0.01281, 6.092e-11  ,    2.3  ,        0,                1    ,                      20,                         8.333 ,  0.5579,            240
 154, 0.0002039  ,  2.765,   0.01364, 0.004513   ,    3.059,        0,                1    ,                      17,                         6.8   ,  0.4948,            250
 155, 0.0001451  ,  2.643,   0.01352, 4.082e-05  ,    3    ,        0,                1    ,                      14,                         6.604 ,  0.389 ,            212
 156, 0.0001345  ,  2.462,   0.01304, 1.932e-05  ,    2.308,        0,                1    ,                      13,                         6.19  ,  0.4694,            210
 157, 0.000146   ,  2.714,   0.01442, 1.549e-05  ,    2.571,        0,                1    ,                       7,                         3.349 ,  0.4417,            209
 158, 0.0001899  ,  2.778,   0.01578, 0.04563    ,    3.111,        0,                1    ,                       9,                         4.545 ,  0.5025,            198
 159, 0.0003276  ,  2.474,   0.01422, 0.05257    ,    2.421,        0,                1    ,                      19,                         9.091 ,  0.4969,            209
 160, 0.0001327  ,  2.857,   0.01502, 0.03309    ,    2.286,        0,                1    ,                       7,                         3.349 ,  0.5659,            209
 161, 0.0001524  ,  2.625,   0.01386, 5.945e-08  ,    2.75 ,        0,                1    ,                       8,                         3.846 ,  0.7572,            208
 162, 0.000284   ,  2.529,   0.01511, 0.007444   ,    2.588,        0,                1    ,                      17,                         8.374 ,  0.7121,            203
 163, 0.0002517  ,  2.353,   0.01406, 0.006261   ,    2.118,        0,                1    ,                      17,                         8.095 ,  0.5969,            210
 164, 0.0002179  ,  3.062,   0.01541, 5.41e-06   ,    2.25 ,        0,                1    ,                      16,                         7.24  ,  0.6294,            221
 165, 0.0001451  ,  2.562,   0.01263, 6.304e-17  ,    2.375,        0,                1    ,                      16,                         7.111 ,  0.5635,            225
