tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
105,6,0.0017,2.8333,0.0376,0.0000,4.6667,116.7959,44.0000,1.6667,0.0054,15.6667
106,5,0.0006,2.4000,0.0295,0.0000,5.2000,17.9067,44.0000,1.2000,0.0066,19.0000
107,8,0.0019,3.7500,0.0485,0.0308,4.2500,85.8377,41.1250,1.1250,0.0043,11.8750
108,8,0.0015,3.0000,0.0395,0.0000,3.7500,17.3592,42.1250,1.1250,0.0047,11.8750
109,7,0.0018,3.5714,0.0490,0.0066,6.2857,53.5052,44.0000,1.1429,0.0055,13.5714
110,8,0.0021,3.1250,0.0444,0.0054,6.2500,20.7479,42.1250,1.1250,0.0048,12.1250
111,7,0.0031,3.0000,0.0507,0.0042,6.1429,170.4596,40.1429,1.0000,0.0057,13.8571
112,6,0.0014,2.8333,0.0431,0.0043,6.8333,20.1366,41.0000,1.1667,0.0065,16.0000
113,5,0.0005,2.4000,0.0286,0.0000,4.0000,5.9996,43.0000,1.0000,0.0079,19.2000
114,11,0.0044,3.0909,0.0502,0.0101,5.4545,53.3008,40.0000,1.4545,0.0035,8.7273
115,9,0.0027,3.1111,0.0437,0.0025,5.5556,14.3419,44.0000,1.5556,0.0039,10.8889
116,9,0.0146,3.0000,0.0566,0.0049,6.1111,19.2697,44.0000,1.8889,0.0036,11.0000
117,10,0.0134,3.1000,0.0515,0.0038,5.2000,8.7789,43.0000,1.7000,0.0032,10.0000
118,8,0.0082,3.1250,0.0461,0.0096,5.3750,48.0781,44.0000,1.6250,0.0038,12.7500
119,11,0.0155,3.0000,0.0623,0.0027,5.5455,107.8209,41.0000,1.8182,0.0028,9.1818
120,7,0.0161,3.5714,0.0701,0.0029,5.4286,10.2013,42.0000,1.8571,0.0045,14.2857
121,10,0.0086,2.9000,0.0506,0.0097,5.7000,44.4487,42.0000,1.9000,0.0029,10.0000
122,8,0.0009,3.0000,0.0336,0.0000,4.8750,34.9654,40.0000,1.6250,0.0038,12.5000
123,7,0.0009,3.0000,0.0342,0.0000,5.2857,78.3170,40.0000,1.4286,0.0045,14.4286
124,10,0.0017,2.7000,0.0322,0.0000,7.2000,78.1322,40.0000,1.6000,0.0031,10.3000
125,8,0.0033,3.8750,0.0489,0.0285,8.3750,17.7110,41.1250,1.6250,0.0038,13.0000
126,18,0.0159,3.7222,0.0593,0.0269,6.9444,85.6271,37.0000,1.7778,0.0017,5.7222
127,16,0.0187,3.6250,0.0709,0.0294,7.5625,39.2907,38.0000,1.8750,0.0020,6.3750
128,17,0.0153,3.4118,0.0651,0.0238,6.4706,13.3033,37.0000,1.8235,0.0019,6.0000
129,15,0.0140,2.8000,0.0635,0.0116,5.5333,17.8675,35.0000,1.6667,0.0023,6.7333
