<<<<<<< HEAD
152,3,34,0.06
153,1,30,0.05
154,2,27,0.03
155,2,23,0.04
156,0,28,0.04
157,1,29,0.04
158,1,30,0.05
159,2,29,0.05
160,4,33,0.03
161,0,27,0.07
162,0,27,0.04
163,1,27,0.05
164,2,32,0.06
165,3,37,0.04
166,1,32,0.05
167,1,26,0.05
168,2,26,0.06
169,2,30,0.06
170,1,26,0.02
171,2,28,0.03
172,1,29,0.05
173,2,29,0.08
174,1,31,0.05
175,3,28,0.05
176,1,24,0.05
177,0,32,0.04
178,1,23,0.02
179,2,33,0.05
180,1,30,0.07
181,0,30,0.05
182,1,30,0.07
183,2,24,0.06
184,0,25,0.03
185,4,26,0.03
186,3,23,0.09
187,1,24,0.05
188,0,22,0.02
189,3,23,0.04
190,0,28,0.03
191,2,29,0.04
192,1,31,0.03
193,3,26,0.04
194,0,31,0.06
195,1,30,0.09
196,3,24,0.03
197,3,26,0.04
198,2,26,0.04
199,0,28,0.07
200,0,30,0.05
201,4,32,0.09
202,0,39,0.06
203,3,36,0.05
204,3,30,0.04
205,2,32,0.06
206,1,28,0.01
207,1,23,0.07
208,1,36,0.06
209,4,32,0.04
210,0,29,0.02
211,3,32,0.04
212,0,29,0.08
213,2,23,0.06
214,0,22,0.03
215,3,32,0.05
216,3,32,0.06
217,1,32,0.04
218,3,29,0.06
219,0,28,0.06
220,0,25,0.01
221,0,24,0.01
222,0,23,0.01
223,0,23,0.08
224,0,27,0.06
225,0,25,0.04
226,1,22,0.03
227,6,24,0.06
228,1,28,0.02
229,2,24,0.09
230,1,26,0.04
231,0,32,0.04
232,1,31,0.04
233,2,31,0.10
234,1,27,0.04
235,1,23,0.07
236,2,23,0.04
237,0,22,0.02
238,0,24,0.06
239,3,27,0.04
240,1,27,0.09
241,2,22,0.05
242,1,24,0.05
243,0,19,0.07
244,2,16,0.03
245,1,19,0.05
246,2,29,0.04
247,0,27,0.10
248,3,31,0.04
249,0,23,0.02
250,1,21,0.03
251,1,23,0.04
252,2,23,0.07
253,1,21,0.02
254,0,20,0.02
255,1,25,0.08
256,3,29,0.08
257,1,23,0.07
258,1,20,0.02
259,0,20,0.02
260,1,23,0.02
261,4,26,0.05
262,1,29,0.06
263,1,31,0.05
264,2,32,0.12
265,3,31,0.03
266,0,26,0.05
267,0,27,0.04
268,0,28,0.08
269,2,30,0.03
270,0,30,0.03
271,4,33,0.03
272,3,30,0.10
273,1,30,0.02
274,0,24,0.09
275,2,33,0.05
276,1,32,0.06
277,0,35,0.05
278,1,38,0.09
279,7,43,0.03
280,2,29,0.06
281,2,31,0.18
282,2,29,0.06
283,2,29,0.03
284,1,30,0.04
285,2,23,0.08
286,1,24,0.05
287,1,26,0.04
288,2,26,0.05
289,1,21,0.02
290,1,17,0.07
291,0,22,0.04
292,0,31,0.02
293,0,28,0.07
294,0,28,0.03
295,0,21,0.06
296,2,25,0.03
297,4,28,0.04
298,3,32,0.03
299,1,29,0.05
300,0,30,0.02
301,0,30,0.06
302,3,28,0.04
